# version: Permenkes 2/2020
# lastUpdated: 2026-03-16
# source: Permenkes No. 2 Tahun 2020
sex,referenceType,referenceValue,L,M,S
P,height,103.5,-0.327,16.3,0.091676
P,height,104,-0.406,16.4,0.093775
P,height,104.5,-0.496,16.6,0.090006
P,height,105,-0.333,16.8,0.092303
P,height,105.5,-0.478,16.9,0.090986
P,height,106,-0.399,17.1,0.093259
P,height,106.5,-0.415,17.3,0.092179
P,height,107,-0.32,17.5,0.094358
P,height,107.5,-0.241,17.7,0.093269
P,height,108,-0.516,17.8,0.09202
P,height,108.5,-0.417,18,0.094181
P,height,109,-0.369,18.2,0.093144
P,height,109.5,-0.414,18.4,0.094502
P,height,110,-0.387,18.6,0.093494
P,height,110.5,-0.404,18.8,0.095522
P,height,111,-0.382,19,0.094513
P,height,111.5,-0.422,19.2,0.095797
P,height,112,-0.38,19.4,0.094818
P,height,112.5,-0.433,19.6,0.093841
P,height,113,-0.392,19.8,0.095774
P,height,113.5,-0.41,20,0.096994
P,height,114,-0.408,20.2,0.096033
P,height,114.5,-0.338,20.5,0.097407
P,height,115,-0.337,20.7,0.096463
P,height,115.5,-0.386,20.9,0.095541
P,height,116,-0.371,21.1,0.096706
P,height,116.5,-0.441,21.3,0.09579
P,height,117,-0.385,21.5,0.09693
P,height,117.5,-0.453,21.7,0.096018
P,height,118,-0.283,22,0.097898
P,height,118.5,-0.352,22.2,0.09901
P,height,119,-0.333,22.4,0.09812
P,height,119.5,-0.367,22.6,0.099185
P,height,120,-0.427,22.8,0.098311
